"name","label","typeName","alias","country","dataset","dictionary","entity","theme_hits"
"INMAT","Calidad de los materiales","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"ENTIDAD","Barrio / Entidad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"INCALCONS","Calidad constructiva de la vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"TOTHOG","Cantidad de Hogares en la Vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"V01C","Casa tipo B","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"MUNI","Municipio","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;geografia;entidad"
"LOCAL","Localidad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;geografia;entidad"
"NHOG","hogar-numero","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H0705","Material predominante de los pisos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1006","Material predominante de la cubierta exterior del techo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1107","Revestimiento interior o cielorraso del techo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1308","Tenencia de agua","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1409","Procedencia del agua para beber y cocinar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1510","Tiene baño / letrina","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1611","Tiene botón, cadena, mochila para limpieza del inodoro","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1712","Desagüe del inodoro","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H1813","Baño / letrina de uso exclusivo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H2014","Combustible usado principalmente para cocinar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H2115","Total de habitaciones o piezas para dormir","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H2216","Total de habitaciones o piezas","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
"H2417","Propiedad de la vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;edad;entidad"
"H2518","Propiedad del terreno","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;edad;entidad"
"H2819","El hogar tiene","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR","vivienda;entidad"
