"name","label","typeName","alias","country","dataset","dictionary","entity"
"P16","Tipo de beneficio que recibe","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P23","Estado civil legal","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P24","Convive en pareja o matrimonio","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"ACTLETRA","Código de actividad letra","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"ACT4CIFR","Código de actividad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"CODOCUP","Código de ocupación","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P31","Tamaño del establecimiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P32","Categoría ocupacional","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P33","Sector en el que trabaja","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P34","Le descuentan para jubilación","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P35","Aporta para jubilación","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P36","Tuvo hijos/as nacidos vivos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P37","Hijos nacidos vivos en total","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P38","Hijos vivos actualmente","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P39","Fecha último hijo nacido vivo","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P39M","Mes","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P39A","Año","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"MARCA_AFRO","Afrodescendiente","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"MARCA_INDI","Indígena","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"CLAVE1P","Clave1","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"MNI","Máximo Nivel de Instrucción","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"ACT2CIFR","Código de actividad 2 cifras","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P08N","Que Provincia Nació-Nombre","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P09N","Donde viviá hace 5 años-Nombre","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P11N","Donde vive habitualmente-Nombre","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"EDADAGRU","Edad en grandes grupos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"EDADQUI","Edades quinquenales","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P1808C","Condición de asistencia escolar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P1909C","Nivel educativo que cursa o cursó","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2010C","Completó el nivel","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"CONDACT","Condición de actividad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"JEFEBAJAED","Jefe baja educ","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P34C","Le descuentan para jubilación","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P35C","Aporta para la jubilación","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"RAMA","Rama de actividad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"CARACTER","Carácter ocupacional","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"CENSO","Identification code","string","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx","CENSO16R"
"IDREGION","Código Region","string","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx","REGION"
"NREGION","Regiones","string","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx","REGION"
"REDCODEN","División Regional","integer","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx","REGION"
"IDPROVIN","Código Provincia","string","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx","PROVINCI"
