name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
CURSO,Curso que frequenta,integer,V0629,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSOCONC,Conclusão deste curso,integer,V0634,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSODOUT,Curso de Doutorado,integer,V6356,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSODOUTG,Curso de Doutorado - Grupo,integer,V6356G,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;edad;entidad
CURSODOUTS,Curso de Doutorado - Subgrupo,integer,V6356S,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;edad;entidad
CURSOESP,Espécie do curso mais elevado concluido,integer,V0635,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSOGRAD,Curso Superior de graduação,integer,V6352,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSOGRADG,Curso Superior de Graduação - Grupo,integer,V6352G,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;edad;entidad
CURSOGRADS,Curso Superior de Graduação - Subgrupo,integer,V6352S,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;edad;entidad
CURSOMAIS,Curso mais elevado que frequentou,integer,V0633,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSOMEST,Curso de Mestrado,integer,V6354,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSOMESTG,Curso de Mestrado - Grupo,integer,V6354G,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;edad;entidad
CURSOMESTS,Curso de Mestrado - Subgrupo,integer,V6354S,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;edad;entidad
DISPONIVEL,"Se tivesse conseguido trabalho, estaria disponível para assumi-lo",integer,V0655,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
EMPREG,Pessoas empregadas neste trabalho,integer,V0649,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
ENXERGAR,Dificuldade permanente de Enxergar,integer,V0614,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
ESTCIVL,Estado Civil,integer,V0640,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
FALEANO,Ano que este filho faleceu,integer,V6682,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
FALEMES,Mês que este filho faleceu,integer,V6681,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
FALESABE,Sabe mês e ano que este filho faleceu,integer,V0668,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
FILHOST,Filhos tidos total (nascidos vivos e nascidos mortos),integer,V6800,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
FINVHOM,Filhos nascidos vivos (homens),integer,V6631,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
FINVMUL,Filhas nascidas vivas (mulheres),integer,V6632,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;sexo;entidad
