name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
P20,Total hijos/as actualmente vivos,integer,HIJOSVIV,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,vivienda;entidad
P21A,Año de nacimiento de último hijo/a,integer,ANOHIJO,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,entidad
P21M,Mes de nacimiento del último/a hijo/a,integer,MESHIJO,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,entidad
PERSONAN,Número de la persona,integer,NUMOPER,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,entidad
IDPROVIN,Código Provincia,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PROVINCI,geografia
NPROVI,Provincias,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PROVINCI,geografia
REDCODEN,División Provincial,integer,PROVINCIA,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PROVINCI,geografia
IDREGION,Código Region,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,REGION,geografia
NREGION,Regiones,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,REGION,geografia
REDCODEN,División Regional,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,REGION,geografia
CANT_HOG,Cantidad de Hogares,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
CANT_PER,Cantidad de Personas,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
NVIV,Número de la Vivienda,integer,NUMOVIV,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
P01,Tipo de Vivienda,integer,TIPOVIV,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
P02,Ocupación de la Vivienda,integer,CONDOCUP,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
P03A,Material de los muros exteriores,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
P03B,Material en la cubierta del techo,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
P03C,Material de construcción del piso,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
P04,Número de piezas usadas exclusivamente como dormitorio,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
P05,Origen del Agua,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,VIVIENDA,vivienda;entidad
IDZC,Zona Censal/Localidad,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,ZONALOC,geografia
NLOCALIDAD,Localidades,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,ZONALOC,edad;geografia
