name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
C5P13ANIOE,P3a+: Último año que aprobó en Básica Especial,integer,ANIOBAS,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,escolaridad;entidad
C5P13ANIOP,P3a+: Último año que aprobó en Primaria,integer,ANIOPRI,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,escolaridad;entidad
C5P13ANIOS,P3a+: Último año que aprobó en Secundaria,integer,ANIOSEC,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,escolaridad;entidad
C5P13GRA,P3a+: Último grado que aprobó en Primaria,integer,GRADOPRI,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,escolaridad;entidad
C5P13NIV,P3a+: Último nivel de estudio que aprobó,integer,NIVEL,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,escolaridad;entidad
C5P14,"P3a+: Actualmente - Asiste a algún colegio, instituto o universidad",integer,PASISTE,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P15,P3a+: La institución educativa al que asiste está ubicada:,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,escolaridad;entidad
C5P15BCOD,P3a+: Departamento de la Institución a la que asiste,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
C5P15DI,P3a+: Distrito o país de la Institución a la que asiste,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
C5P15PV,P3a+: Provincia o continente de la Institución a la que asiste,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
C5P16,P5a+: La semana pasada - Trabajó por algún pago en dinero o especie,integer,TRABAJO,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P17,P5a+: La semana pasada - ¿Qué hacia?,integer,QHACIA,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P18,P5a+: La semana pasada estuvo buscando trabajo activamente,integer,BUSCOTRAB,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P19COD,P5a+: La semana pasada ¿Cuál es la ocupación principal?,integer,OCUPACION,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
C5P19CODA,"P5a+: La semana pasada, segúngran grupo, ¿Cuál es la ocupación principal?",integer,OCUPAGRP,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,edad;geografia;entidad
C5P2,P: Sexo,integer,SEXO,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,sexo;entidad
C5P20COD,"P5a+: La semana pasada a qué actividad se dedicó el negocio, organismo o empresa en la que trabajó",integer,RAMACT,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
C5P20CODA,"P5a+: La semana pasada, según sección, ¿A qué actividad se dedicó el negocio?",integer,RAMAGRP,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
C5P21,P5a+: En su centro de trabajo se desempeñó como:,integer,DESEMPENO,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P22,P5a+: En su centro de trabajo laboraron:,integer,NLABORARON,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P23,P5a+: Su centro de trabajo está ubicado,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P23BCOD,P5a+: Departamento donde está ubicado su centro trabajo,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
