country,dataset,entity,name,label,typeName,tema,subtema
argentina,CP2010ARG,PERSONA,P12,En que municipio vive habitualmente,integer,vivienda,vivienda_general
argentina,CP2010ARG,PERSONA,P24,Convive en pareja o matrimonio,integer,vivienda,vivienda_general
argentina,CP2010ARG,PERSONA,P36,Tuvo hijos/as nacidos vivos,integer,vivienda,vivienda_general
argentina,CP2010ARG,PERSONA,P37,Hijos nacidos vivos en total,integer,vivienda,vivienda_general
argentina,CP2010ARG,PERSONA,P38,Hijos vivos actualmente,integer,vivienda,vivienda_general
argentina,CP2010ARG,PERSONA,P39,Fecha último hijo nacido vivo,string,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC1,Inundaciones en últimos cinco años,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC10,Ubicado en Villa de emergencia o asentamiento,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC11,Ubicado en barrio plan o monoblock,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC12,Ubicado en country o barrio cerrado,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC13,Existencia de al menos de una cuadra pavimentada,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC14,Existencia de al menos una boca de tormenta,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC15,Existencia de alumbrado público,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC2,Basural permanente a 300 metros,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC5,Servicio de gas de red,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC7,Servicio regular de recolección de residuos,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC8,Transporte público a 300 metros,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CC9,Teléfono público a 300 metros,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CODAGLO,Código de Aglomerado,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CODENT,Código de Entidad,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,CODMUNI,Código de Municipio,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,ENTIDAD,Barrio / Entidad,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,EXPV,Expansor,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,MUNI,Municipio,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,TIPVV,Tipo de vivienda agrupado,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,TOTHOG,Cantidad de Hogares en la Vivienda,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,V00,Tipo de vivienda colectiva,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,V00O,Otros tipo de vivienda colectiva,string,vivienda,vivienda_general
