country,dataset,entity,name,label,typeName,dimension
brasil,CP2010BRA,PESSOA,FIVIMUL,Filhas vivas (mulheres),integer,sexo
brasil,CP2010BRA,PESSOA,FIVISEXO,Sexo do último filho nascido vivo,integer,sexo
brasil,CP2010BRA,PESSOA,MORTMUL,Filhas nascidas mortas (mulheres),integer,sexo
brasil,CP2010BRA,PESSOA,SEXO,Sexo,integer,sexo
chile,CP2017CHL,PERSONA,ESCOLARIDAD,Años de escolaridad,integer,edad
chile,CP2017CHL,PERSONA,P09,Edad,integer,edad
chile,CP2017CHL,ZONALOC,NLOCALIDAD,Localidades,string,edad
chile,CP2017CHL,AREA,AREA,Código de Area,integer,geografia
chile,CP2017CHL,AREA,IDAREA,Código de Area,string,geografia
chile,CP2017CHL,COMUNA,IDCOMUNA,Código Comuna,string,geografia
chile,CP2017CHL,COMUNA,NCOMUNA,Comunas,string,geografia
chile,CP2017CHL,COMUNA,REDCODEN,División Comunal,integer,geografia
chile,CP2017CHL,DISTRITO,IDDIST,Distrito Censal,string,geografia
chile,CP2017CHL,DISTRITO,NDISTRITO,Distritos,string,geografia
chile,CP2017CHL,PERSONA,P10COMUNA,Comuna de Residencia Habitual,integer,geografia
chile,CP2017CHL,PERSONA,P11,Comuna de Residencia Anterior,integer,geografia
chile,CP2017CHL,PERSONA,P11COMUNA,Comuna de Residencia Anterior,integer,geografia
chile,CP2017CHL,PERSONA,P12,Comuna o pais de Nacimiento,integer,geografia
chile,CP2017CHL,PERSONA,P12COMUNA,Comuna de Nacimiento,integer,geografia
chile,CP2017CHL,PROVINCI,IDPROVIN,Código Provincia,string,geografia
chile,CP2017CHL,PROVINCI,NPROVI,Provincias,string,geografia
chile,CP2017CHL,PROVINCI,REDCODEN,División Provincial,integer,geografia
chile,CP2017CHL,REGION,IDREGION,Código Region,string,geografia
chile,CP2017CHL,REGION,NREGION,Regiones,string,geografia
chile,CP2017CHL,REGION,REDCODEN,División Regional,integer,geografia
chile,CP2017CHL,ZONALOC,IDZC,Zona Censal/Localidad,string,geografia
chile,CP2017CHL,PERSONA,P08,Sexo,integer,sexo
peru,CP2017PER,PERSONA,C5P41,P: Edad en años,integer,edad
peru,CP2017PER,PERSONA,C5P41M,P: Edad en meses,integer,edad
peru,CP2017PER,PERSONA,C5P6,P: ¿Hace 5 años vivía en este distrito?,integer,edad
peru,CP2017PER,PERSONA,C5P6BCOD,P: Departamento donde vivía hace 5 años,integer,edad
peru,CP2017PER,PERSONA,C5P6DI,P: Distrito o país donde vivía hace 5 años,integer,edad
peru,CP2017PER,PERSONA,C5P6PV,P: Provincia o continente donde vivía hace 5 años,integer,edad
peru,CP2017PER,PERSONA,EDQUINQ,P: Edad en grupos quinquenales,integer,edad
peru,CP2017PER,PERSONA,P03ESC,"P: Población de 3 a 24 años, por grupo de edad",integer,edad
peru,CP2017PER,PERSONA,P03GQ15M,P: Población de 15 años a más en grupos quinquenales,integer,edad
peru,CP2017PER,PERSONA,PET,P15a+: Población en edad de trabajar - PET,integer,edad
peru,CP2017PER,DEPARTAM,CCDD,Departamento,string,geografia
peru,CP2017PER,DEPARTAM,NCCDD,Departamento,string,geografia
peru,CP2017PER,DISTRITO,CCDI,Distrito,string,geografia
peru,CP2017PER,DISTRITO,NCCDI,Distrito,string,geografia
peru,CP2017PER,HOGAR,HAREA,H: Área concepto censal,integer,geografia
peru,CP2017PER,PERSONA,C5P15BCOD,P3a+: Departamento de la Institución a la que asiste,integer,geografia
peru,CP2017PER,PERSONA,C5P15DI,P3a+: Distrito o país de la Institución a la que asiste,integer,geografia
peru,CP2017PER,PERSONA,C5P15PV,P3a+: Provincia o continente de la Institución a la que asiste,integer,geografia
peru,CP2017PER,PERSONA,C5P23BCOD,P5a+: Departamento donde está ubicado su centro trabajo,integer,geografia
peru,CP2017PER,PERSONA,C5P5,P: ¿Vive permanentemente en este distrito?,integer,geografia
peru,CP2017PER,PERSONA,C5P5BCOD,P: Departamento donde vive permanentemente,integer,geografia
peru,CP2017PER,PERSONA,C5P5DI,P: Distrito o país donde vive permanentemente,integer,geografia
peru,CP2017PER,PERSONA,C5P5PV,P: Provincia o continente donde vive permanentemente,integer,geografia
peru,CP2017PER,PERSONA,C5P7,P: Cuándo ud nació ¿Vivía su madre en este distrito?,integer,geografia
peru,CP2017PER,PERSONA,C5P7BCOD,P: Departamento donde vivía su madre,integer,geografia
peru,CP2017PER,PERSONA,C5P7DI,P: Distrito o país donde vivía su madre,integer,geografia
peru,CP2017PER,PERSONA,C5P7PV,P: Provincia o continente donde vivía su madre,integer,geografia
peru,CP2017PER,PERSONA,PAREA,P: Área concepto censal,integer,geografia
peru,CP2017PER,PROVINCI,CCPP,Provincia,string,geografia
peru,CP2017PER,PROVINCI,NCCPP,Provincia,string,geografia
peru,CP2017PER,VIVIENDA,ENCAREA,V: Área concepto encuesta,integer,geografia
peru,CP2017PER,VIVIENDA,VAREA,V: Área concepto censal,integer,geografia
peru,CP2017PER,HOGAR,sexcon,H: Sexo del Esposo/a o compañero/a del hogar,integer,sexo
peru,CP2017PER,HOGAR,sexjef,H: Sexo del jefe del hogar,integer,sexo
peru,CP2017PER,PERSONA,C5P2,P: Sexo,integer,sexo
