country_guess,dataset_folder,path,file_name,extension,size_bytes,size_mb,likely_role,readable_by_duckdb,notes
Brasil,Equip,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/2INDBIENBR02_v2.spc,2INDBIENBR02_v2.spc,.spc,2916,0.0,unknown,no,"Ext: .spc, Name: 2INDBIENBR02_V2.SPC"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020012.BIN,C1020012.BIN,.bin,2248,0.0,unknown,no,"Ext: .bin, Name: C1020012.BIN"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020011.PTR,C1020011.PTR,.ptr,2236,0.0,unknown,no,"Ext: .ptr, Name: C1020011.PTR"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200003.ptr,CPV200003.ptr,.ptr,2112,0.0,unknown,no,"Ext: .ptr, Name: CPV200003.PTR"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_006.rbf,CD2010_006.rbf,.rbf,1728,0.0,unknown,no,"Ext: .rbf, Name: CD2010_006.RBF"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020009.BIN,C1020009.BIN,.bin,1674,0.0,unknown,no,"Ext: .bin, Name: C1020009.BIN"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200001.rbf,CPV200001.rbf,.rbf,1581,0.0,unknown,no,"Ext: .rbf, Name: CPV200001.RBF"
Brasil,ParaEstimaciones,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/ParaEstimaciones/NewVars.spc,NewVars.spc,.spc,1579,0.0,unknown,no,"Ext: .spc, Name: NEWVARS.SPC"
Peru,BaseD,data/extracted/CP2017PER/BaseD/CPV2017 Distrito.prjX,CPV2017 Distrito.prjX,.prjx,1431,0.0,unknown,no,"Ext: .prjx, Name: CPV2017 DISTRITO.PRJX"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1604.ptr,CPV2017-1604.ptr,.ptr,1388,0.0,unknown,no,"Ext: .ptr, Name: CPV2017-1604.PTR"
Brasil,Educ,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Educ/3INDEDUHOG_BR02.spc,3INDEDUHOG_BR02.spc,.spc,1279,0.0,unknown,no,"Ext: .spc, Name: 3INDEDUHOG_BR02.SPC"
Brasil,Educ,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Educ/3INDEDUHOG_BR91.spc,3INDEDUHOG_BR91.spc,.spc,1279,0.0,unknown,no,"Ext: .spc, Name: 3INDEDUHOG_BR91.SPC"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV20296.rbf,CPV20296.rbf,.rbf,1200,0.0,unknown,no,"Ext: .rbf, Name: CPV20296.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/DPTOQ.rbf,DPTOQ.rbf,.rbf,1120,0.0,unknown,no,"Ext: .rbf, Name: DPTOQ.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/DPTO.rbf,DPTO.rbf,.rbf,1120,0.0,unknown,no,"Ext: .rbf, Name: DPTO.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020005.rbf,CD1020005.rbf,.rbf,1080,0.0,unknown,no,"Ext: .rbf, Name: CD1020005.RBF"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020004.BIN,C1020004.BIN,.bin,1080,0.0,unknown,no,"Ext: .bin, Name: C1020004.BIN"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16_LKP.rbf,CPV2017-16_LKP.rbf,.rbf,1024,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-16_LKP.RBF"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/PERU0008.rbf,PERU0008.rbf,.rbf,1000,0.0,unknown,no,"Ext: .rbf, Name: PERU0008.RBF"
Brasil,DeOrdenGeneral,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/DeOrdenGeneral/RECODEEDDAD5BR91.spc,RECODEEDDAD5BR91.spc,.spc,975,0.0,unknown,no,"Ext: .spc, Name: RECODEEDDAD5BR91.SPC"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1610.rbf,CPV2017-1610.rbf,.rbf,972,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-1610.RBF"
Brasil,DeOrdenGeneral,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/DeOrdenGeneral/RECODEEDDAD5BR02.spc,RECODEEDDAD5BR02.spc,.spc,952,0.0,unknown,no,"Ext: .spc, Name: RECODEEDDAD5BR02.SPC"
Brasil,Educ,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Educ/1NEDUBR91.spc,1NEDUBR91.spc,.spc,951,0.0,unknown,no,"Ext: .spc, Name: 1NEDUBR91.SPC"
Brasil,Educ,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Educ/1NEDUBR02.spc,1NEDUBR02.spc,.spc,943,0.0,unknown,no,"Ext: .spc, Name: 1NEDUBR02.SPC"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0096.rbf,Peru0096.rbf,.rbf,875,0.0,unknown,no,"Ext: .rbf, Name: PERU0096.RBF"
Chile,Censo2017_Nombres_Id_Geogrаfica,data/extracted/CP2017CHL/Docs/Censo2017_Nombres_Id_Geogrаfica/Glosas_PROVINCIA.txt,Glosas_PROVINCIA.txt,.txt,850,0.0,unknown,no,"Ext: .txt, Name: GLOSAS_PROVINCIA.TXT"
Chile,Censo2017_Nombres_Id_Geogrаfica,data/extracted/CP2017CHL/Docs/Censo2017_Nombres_Id_Geogrаfica/Glosas_PROVINCIA_15R.txt,Glosas_PROVINCIA_15R.txt,.txt,822,0.0,unknown,no,"Ext: .txt, Name: GLOSAS_PROVINCIA_15R.TXT"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D-0003.ptr,CPVPER2017D-0003.ptr,.ptr,788,0.0,unknown,no,"Ext: .ptr, Name: CPVPER2017D-0003.PTR"
Brasil,Equip,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/QUINTILRUR_BR02B.spc,QUINTILRUR_BR02B.spc,.spc,787,0.0,unknown,no,"Ext: .spc, Name: QUINTILRUR_BR02B.SPC"
Brasil,Equip,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/QUINTILURB_BR02B.spc,QUINTILURB_BR02B.spc,.spc,785,0.0,unknown,no,"Ext: .spc, Name: QUINTILURB_BR02B.SPC"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0003.ptr,Peru0003.ptr,.ptr,784,0.0,unknown,no,"Ext: .ptr, Name: PERU0003.PTR"
Brasil,Equip,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/QUINTILRUR_BR91B.spc,QUINTILRUR_BR91B.spc,.spc,782,0.0,unknown,no,"Ext: .spc, Name: QUINTILRUR_BR91B.SPC"
Brasil,Equip,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/QUINTILURB_BR91B.spc,QUINTILURB_BR91B.spc,.spc,757,0.0,unknown,no,"Ext: .spc, Name: QUINTILURB_BR91B.SPC"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1605.rbf,CPV2017-1605.rbf,.rbf,692,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-1605.RBF"
